district,week_start_date,cases,tmax,tmin,app_tmax,app_tmin,humidity,rainfall,precipitation,year,month,week_of_year,sin_week,cos_week,tmean,rainfall_feat,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_8,temp_lag_1,humidity_lag_1,temp_lag_2,humidity_lag_2,temp_lag_3,humidity_lag_3,temp_lag_4,humidity_lag_4,rolling_mean_2,rolling_mean_4,rolling_std_4,rate_of_change,percentage_change,rainfall_anomaly,temperature_anomaly,humidity_anomaly,is_sw_monsoon,is_ne_monsoon,is_inter_monsoon,monsoon_season,outbreak_label
Puttalam,2015-12-07,3,29.428571428571427,24.74285714285714,35.042857142857144,29.24285714285714,87.28571428571429,105.1,105.1,2015,12,50,-0.2393156642875578,0.970941817426052,27.08571428571428,105.1,5.0,30.0,5.0,3.0,28.9,33.3,189.2,79.3,109.4,101.0,26.478571428571428,88.85714285714286,26.957142857142856,84.0,26.857142857142858,86.42857142857143,26.142857142857142,88.85714285714286,4.0,10.75,12.86791876463842,-2.0,-0.4,69.24533333333335,0.9281904761904728,4.982857142857156,0,1,0,NE,0
Puttalam,2015-12-14,6,29.77142857142857,24.342857142857145,34.542857142857144,28.3,82.42857142857143,35.3,35.3,2015,12,51,-0.1205366802553236,0.992708874098054,27.057142857142857,35.3,3.0,5.0,30.0,5.0,97.1,28.9,33.3,189.2,79.3,109.6,27.08571428571428,87.28571428571429,26.478571428571428,88.85714285714286,26.957142857142856,84.0,26.857142857142858,86.42857142857143,4.5,11.0,12.727922061357866,3.0,1.0,-0.5546666666666695,0.8996190476190478,0.1257142857142952,0,1,0,NE,0
Puttalam,2015-12-21,3,29.52857142857143,24.085714285714285,32.81428571428571,27.414285714285715,76.71428571428571,3.3,3.3,2015,12,52,6.432490598706546e-16,1.0,26.807142857142857,3.3,6.0,3.0,5.0,30.0,105.1,97.1,28.9,33.3,189.2,109.4,27.057142857142857,82.42857142857143,27.08571428571428,87.28571428571429,26.478571428571428,88.85714285714286,26.957142857142856,84.0,4.5,4.25,1.5000000000000906,-3.0,-0.5,-32.55466666666667,0.6496190476190478,-5.588571428571427,0,1,0,NE,0
Puttalam,2015-12-28,13,28.9,24.61428571428572,32.31428571428571,28.02857142857143,82.28571428571429,13.3,13.3,2015,12,53,0.1205366802553231,0.992708874098054,26.75714285714286,13.3,3.0,6.0,3.0,5.0,35.3,105.1,97.1,28.9,33.3,79.3,26.807142857142857,76.71428571428571,27.057142857142857,82.42857142857143,27.08571428571428,87.28571428571429,26.478571428571428,88.85714285714286,8.0,6.25,4.716990566028331,10.0,3.333333333333333,-22.55466666666667,0.5996190476190506,-0.0171428571428435,0,1,0,NE,0
Puttalam,2016-01-04,19,29.25714285714286,24.314285714285717,32.542857142857144,27.728571428571428,78.57142857142857,3.0,3.0,2016,1,1,0.120536680255323,0.992708874098054,26.785714285714285,3.0,13.0,3.0,6.0,3.0,3.3,35.3,105.1,97.1,28.9,189.2,26.75714285714286,82.28571428571429,26.807142857142857,76.71428571428571,27.057142857142857,82.42857142857143,27.08571428571428,87.28571428571429,16.0,10.25,7.1821538088051,6.0,0.4615384615384614,-15.35125,0.7260714285714265,1.2410714285714306,0,1,0,NE,0
Puttalam,2016-01-11,21,29.61428571428572,23.071428571428573,32.18571428571429,25.814285714285717,72.0,0.0,0.0,2016,1,2,0.2393156642875577,0.970941817426052,26.342857142857145,0.0,19.0,13.0,3.0,6.0,13.3,3.3,35.3,105.1,97.1,33.3,26.785714285714285,78.57142857142857,26.75714285714286,82.28571428571429,26.807142857142857,76.71428571428571,27.057142857142857,82.42857142857143,20.0,14.0,8.082903768654777,2.0,0.1052631578947369,-18.35125,0.283214285714287,-5.330357142857139,0,1,0,NE,0
Puttalam,2016-01-18,16,30.87142857142857,23.885714285714283,35.02857142857143,27.25714285714286,74.14285714285714,6.7,6.7,2016,1,3,0.3546048870425356,0.9350162426854148,27.378571428571423,6.7,21.0,19.0,13.0,3.0,3.0,13.3,3.3,35.3,105.1,28.9,26.342857142857145,72.0,26.785714285714285,78.57142857142857,26.75714285714286,82.28571428571429,26.807142857142857,76.71428571428571,18.5,17.25,3.500000000000038,-5.0,-0.2380952380952381,-11.65125,1.318928571428568,-3.1875,0,1,0,NE,0
Puttalam,2016-01-25,15,31.228571428571428,23.457142857142856,34.07142857142857,26.47142857142857,69.14285714285714,0.0,0.0,2016,1,4,0.4647231720437685,0.8854560256532099,27.34285714285714,0.0,16.0,21.0,19.0,13.0,0.0,3.0,13.3,3.3,35.3,97.1,27.378571428571423,74.14285714285714,26.342857142857145,72.0,26.785714285714285,78.57142857142857,26.75714285714286,82.28571428571429,15.5,17.75,2.7537852736431003,-1.0,-0.0625,-18.35125,1.2832142857142834,-8.1875,0,1,0,NE,0
Puttalam,2016-02-01,17,31.485714285714288,23.8,33.57142857142857,26.61428571428572,66.28571428571429,0.0,0.0,2016,2,5,0.5680647467311558,0.8229838658936564,27.642857142857142,0.0,15.0,16.0,21.0,19.0,6.7,0.0,3.0,13.3,3.3,105.1,27.34285714285714,69.14285714285714,27.378571428571423,74.14285714285714,26.342857142857145,72.0,26.785714285714285,78.57142857142857,16.0,17.25,2.6299556396766346,2.0,0.1333333333333333,-8.9,0.4757338551859114,-8.258317025440306,0,1,0,NE,0
Puttalam,2016-02-08,49,32.285714285714285,24.228571428571428,35.885714285714286,27.9,69.14285714285714,0.0,0.0,2016,2,6,0.6631226582407952,0.7485107481711011,28.257142857142856,0.0,17.0,15.0,16.0,21.0,0.0,6.7,0.0,3.0,13.3,35.3,27.642857142857142,66.28571428571429,27.34285714285714,69.14285714285714,27.378571428571423,74.14285714285714,26.342857142857145,72.0,33.0,24.25,16.520189667999183,32.0,1.8823529411764703,-8.9,1.0900195694716217,-5.401174168297459,0,1,0,NE,1
